h_AGL,w_cossin,w_shear,w_power,w_mil,h_AGL
0,0,0,0,0,0
2.002002002,0,1.574046858,2.209570492,0.00039557,2.002002002
4.004004004,0,2.491586327,2.538129989,0.001582216,4.004004004
6.006006006,0,3.028312509,2.752530325,0.003559752,6.006006006
8.008008008,0,3.409125796,2.915545743,0.006327864,8.008008008
10.01001001,0,3.704507529,3.048609947,0.009886114,10.01001001
12.01201201,0,3.945851978,3.161827056,0.014233939,12.01201201
14.01401401,0,4.149905802,3.26082483,0.019370651,14.01401401
16.01601602,0,4.326665265,3.349082599,0.025295438,16.01601602
18.01801802,0,4.48257816,3.428912188,0.032007362,18.01801802
20.02002002,0,4.622046998,3.501933231,0.039505361,20.02002002
22.02202202,0,4.748211908,3.569327503,0.047788248,22.02202202
24.02402402,0,4.863391447,3.631985538,0.056854713,24.02402402
26.02602603,0,4.969346352,3.690596214,0.066703322,26.02602603
28.02802803,0,5.067445271,3.745704119,0.077332516,28.02802803
30.03003003,0,5.15877318,3.797747733,0.088740613,30.03003003
32.03203203,0,5.244204734,3.847085672,0.100925809,32.03203203
34.03403403,0,5.324455342,3.894015229,0.113886174,34.03403403
36.03603604,0,5.400117629,3.93878579,0.127619659,36.03603604
38.03803804,0,5.471688013,3.981608745,0.142124091,38.03803804
40.04004004,5.69E-07,5.539586467,4.022664941,0.157397173,40.04004004
42.04204204,0.001478998,5.604171453,4.06211038,0.173436491,42.04204204
44.04404404,0.005800198,5.665751377,4.100080631,0.190239506,44.04404404
46.04604605,0.012963101,5.724593493,4.136694306,0.207803558,46.04604605
48.04804805,0.022965935,5.780930916,4.172055813,0.22612587,48.04804805
50.05005005,0.035806227,5.8349682,4.206257569,0.245203542,50.05005005
52.05205205,0.051480803,5.88688582,4.239381799,0.265033556,52.05205205
54.05405405,0.069985788,5.936843811,4.271502002,0.285612773,54.05405405
56.05605606,0.091316606,5.98498474,4.302684159,0.306937937,56.05605606
58.05805806,0.115467985,6.03143616,4.332987747,0.329005675,58.05805806
60.06006006,0.142433952,6.076312649,4.362466574,0.351812495,60.06006006
62.06206206,0.172207843,6.119717509,4.391169489,0.375354787,62.06206206
64.06406406,0.204782294,6.161744202,4.419140983,0.399628827,64.06406406
66.06606607,0.240149254,6.202477559,4.446421704,0.424630774,66.06606607
68.06806807,0.278299978,6.241994811,4.473048888,0.450356672,68.06806807
70.07007007,0.319225034,6.280366473,4.499056739,0.476802451,70.07007007
72.07207207,0.362914305,6.317657098,4.524476757,0.503963926,72.07207207
74.07407407,0.409356989,6.353925932,4.549338017,0.531836798,74.07407407
76.07607608,0.458541604,6.389227481,4.573667415,0.560416659,76.07607608
78.07807808,0.51045599,6.423612003,4.597489889,0.589698986,78.07807808
80.08008008,0.565087313,6.457125936,4.620828601,0.619679145,80.08008008
82.08208208,0.622422067,6.489812279,4.643705108,0.650352394,82.08208208
84.08408408,0.682446075,6.521710922,4.666139511,0.681713877,84.08408408
86.08608609,0.745144499,6.552858939,4.68815058,0.713758635,86.08608609
88.08808809,0.810501838,6.583290846,4.709755876,0.746481595,88.08808809
90.09009009,0.878501934,6.613038831,4.730971852,0.77987758,90.09009009
92.09209209,0.949127974,6.642132961,4.751813945,0.813941306,92.09209209
94.09409409,1.022362498,6.670601363,4.772296661,0.848667384,94.09409409
96.0960961,1.098187401,6.698470385,4.792433649,0.884050318,96.0960961
98.0980981,1.176583936,6.725764746,4.812237769,0.92008451,98.0980981
100.1001001,1.257532721,6.752507669,4.831721151,0.956764258,100.1001001
102.1021021,1.341013743,6.778720994,4.85089525,0.994083759,102.1021021
104.1041041,1.427006364,6.804425289,4.869770899,1.032037108,104.1041041
106.1061061,1.515489323,6.82963995,4.888358352,1.070618299,106.1061061
108.1081081,1.606440746,6.85438328,4.906667323,1.109821228,108.1081081
110.1101101,1.699838145,6.878672579,4.924707027,1.149639692,110.1101101
112.1121121,1.795658431,6.902524209,4.942486216,1.19006739,112.1121121
114.1141141,1.893877914,6.925953664,4.960013203,1.231097926,114.1141141
116.1161161,1.994472312,6.948975629,4.977295898,1.272724807,116.1161161
118.1181181,2.097416753,6.971604037,4.994341831,1.314941447,118.1181181
120.1201201,2.202685788,6.993852118,5.011158177,1.357741166,120.1201201
122.1221221,2.310253392,7.015732445,5.027751779,1.401117192,122.1221221
124.1241241,2.420092969,7.037256978,5.044129168,1.445062661,124.1241241
126.1261261,2.532177364,7.058437104,5.06029658,1.489570621,126.1261261
128.1281281,2.646478868,7.079283671,5.076259978,1.534634028,128.1281281
130.1301301,2.762969221,7.099807023,5.092025064,1.580245753,130.1301301
132.1321321,2.881619623,7.120017028,5.107597297,1.626398579,132.1321321
134.1341341,3.002400741,7.139923112,5.122981905,1.673085202,134.1341341
136.1361361,3.125282714,7.15953428,5.138183899,1.720298236,136.1361361
138.1381381,3.250235161,7.178859144,5.153208085,1.768030211,138.1381381
140.1401401,3.377227192,7.197905942,5.168059075,1.816273573,140.1401401
142.1421421,3.50622741,7.216682564,5.182741298,1.865020689,142.1421421
144.1441441,3.637203922,7.235196567,5.197259008,1.914263847,144.1441441
146.1461461,3.770124348,7.253455196,5.211616296,1.963995254,146.1461461
148.1481481,3.904955824,7.271465401,5.225817096,2.014207041,148.1481481
150.1501502,4.041665017,7.289233851,5.239865194,2.064891265,150.1501502
152.1521522,4.180218129,7.30676695,5.253764236,2.116039904,152.1521522
154.1541542,4.320580905,7.324070852,5.267517734,2.167644867,154.1541542
156.1561562,4.462718644,7.341151472,5.281129072,2.219697986,156.1561562
158.1581582,4.606596204,7.358014498,5.294601516,2.272191028,158.1581582
160.1601602,4.752178015,7.374665405,5.307938212,2.325115684,160.1601602
162.1621622,4.899428085,7.391109462,5.321142202,2.378463582,162.1621622
164.1641642,5.048310009,7.407351748,5.334216419,2.43222628,164.1641642
166.1661662,5.19878698,7.423397152,5.347163699,2.486395272,166.1661662
168.1681682,5.350821795,7.439250391,5.359986781,2.540961986,168.1681682
170.1701702,5.504376866,7.454916013,5.372688314,2.595917788,170.1701702
172.1721722,5.659414231,7.470398408,5.38527086,2.651253983,172.1721722
174.1741742,5.815895559,7.485701811,5.397736898,2.706961815,174.1741742
176.1761762,5.973782164,7.500830315,5.410088828,2.76303247,176.1761762
178.1781782,6.133035012,7.515787871,5.422328973,2.819457075,178.1781782
180.1801802,6.29361473,7.5305783,5.434459584,2.876226704,180.1801802
182.1821822,6.455481619,7.545205296,5.446482842,2.933332372,182.1821822
184.1841842,6.618595661,7.55967243,5.458400862,2.990765045,184.1841842
186.1861862,6.782916528,7.57398316,5.470215693,3.048515634,186.1861862
188.1881882,6.948403597,7.588140832,5.481929324,3.106575003,188.1881882
190.1901902,7.115015953,7.602148684,5.493543685,3.164933965,190.1901902
192.1921922,7.282712405,7.616009854,5.50506065,3.223583285,192.1921922
194.1941942,7.451451494,7.629727382,5.516482035,3.282513684,194.1941942
196.1961962,7.621191503,7.643304215,5.527809609,3.341715837,196.1961962
198.1981982,7.791890466,7.65674321,5.539045088,3.401180377,198.1981982
200.2002002,7.963506183,7.670047138,5.550190138,3.460897895,200.2002002
202.2022022,8.135996224,7.683218686,5.561246381,3.520858942,202.2022022
204.2042042,8.309317945,7.696260462,5.572215394,3.58105403,204.2042042
206.2062062,8.483428497,7.709175,5.58309871,3.641473634,206.2062062
208.2082082,8.658284833,7.721964758,5.593897821,3.702108196,208.2082082
210.2102102,8.833843724,7.734632124,5.604614179,3.76294812,210.2102102
212.2122122,9.010061766,7.747179419,5.615249197,3.823983781,212.2122122
214.2142142,9.186895395,7.759608896,5.625804251,3.88520552,214.2142142
216.2162162,9.36430089,7.771922749,5.636280682,3.94660365,216.2162162
218.2182182,9.542234393,7.784123109,5.646679795,4.008168457,218.2182182
220.2202202,9.720651913,7.796212048,5.657002861,4.0698902,220.2202202
222.2222222,9.899509339,7.808191583,5.667251122,4.131759112,222.2222222
224.2242242,10.07876245,7.820063678,5.677425786,4.193765403,224.2242242
226.2262262,10.25836694,7.831830241,5.687528031,4.255899264,226.2262262
228.2282282,10.43827839,7.843493133,5.697559007,4.318150862,228.2282282
230.2302302,10.61845234,7.855054164,5.707519835,4.380510348,230.2302302
232.2322322,10.79884422,7.866515098,5.71741161,4.442967854,232.2322322
234.2342342,10.97940946,7.877877654,5.727235399,4.505513498,234.2342342
236.2362362,11.16010339,7.889143506,5.736992245,4.568137384,236.2362362
238.2382382,11.34088137,7.900314287,5.746683166,4.630829602,238.2382382
240.2402402,11.52169868,7.911391587,5.756309155,4.693580234,240.2402402
242.2422422,11.70251062,7.922376958,5.765871183,4.75637935,242.2422422
244.2442442,11.8832725,7.933271914,5.775370198,4.819217013,244.2442442
246.2462462,12.06393962,7.94407793,5.784807128,4.882083281,246.2462462
248.2482482,12.24446732,7.954796447,5.794182878,4.944968207,248.2482482
250.2502503,12.42481097,7.965428871,5.803498332,5.00786184,250.2502503
252.2522523,12.60492597,7.975976573,5.812754358,5.07075423,252.2522523
254.2542543,12.78476781,7.986440894,5.8219518,5.133635424,254.2542543
256.2562563,12.96429201,7.99682314,5.831091486,5.196495473,256.2562563
258.2582583,13.1434542,8.00712459,5.840174228,5.259324431,258.2582583
260.2602603,13.32221008,8.017346491,5.849200815,5.322112357,260.2602603
262.2622623,13.50051545,8.027490063,5.858172024,5.384849316,262.2622623
264.2642643,13.67832624,8.037556497,5.867088613,5.447525381,264.2642643
266.2662663,13.85559848,8.047546957,5.875951325,5.510130635,266.2662663
268.2682683,14.03228835,8.057462581,5.884760887,5.572655172,268.2682683
270.2702703,14.20835216,8.067304482,5.893518011,5.635089099,270.2702703
272.2722723,14.38374639,8.077073749,5.902223393,5.697422537,272.2722723
274.2742743,14.55842768,8.086771446,5.910877716,5.759645623,274.2742743
276.2762763,14.73235283,8.096398613,5.919481651,5.821748513,276.2762763
278.2782783,14.90547885,8.105956269,5.92803585,5.883721378,278.2782783
280.2802803,15.07776293,8.115445411,5.936540958,5.945554415,280.2802803
282.2822823,15.24916249,8.124867014,5.944997604,6.007237838,282.2822823
284.2842843,15.41963514,8.134222033,5.953406403,6.068761888,284.2842843
286.2862863,15.58913875,8.143511402,5.961767962,6.130116831,286.2862863
288.2882883,15.7576314,8.152736036,5.970082873,6.191292957,288.2882883
290.2902903,15.92507144,8.161896831,5.978351718,6.252280588,290.2902903
292.2922923,16.09141747,8.170994665,5.986575066,6.313070073,292.2922923
294.2942943,16.25662837,8.180030397,5.994753478,6.373651793,294.2942943
296.2962963,16.4206633,8.18900487,6.002887502,6.434016164,296.2962963
298.2982983,16.58348169,8.197918908,6.010977676,6.494153633,298.2982983
300.3003003,16.74504329,8.20677332,6.019024529,6.554054685,300.3003003
302.3023023,16.90530817,8.215568898,6.027028579,6.613709843,302.3023023
304.3043043,17.0642367,8.224306419,6.034990336,6.673109666,304.3043043
306.3063063,17.22178959,8.232986645,6.042910298,6.732244758,306.3063063
308.3083083,17.37792788,8.241610321,6.050788956,6.791105759,308.3083083
310.3103103,17.53261297,8.25017818,6.058626792,6.849683358,310.3103103
312.3123123,17.68580663,8.258690941,6.066424278,6.907968285,312.3123123
314.3143143,17.83747098,8.267149306,6.074181879,6.965951319,314.3143143
316.3163163,17.98756852,8.275553967,6.081900051,7.023623284,316.3163163
318.3183183,18.13606214,8.283905601,6.089579243,7.080975056,318.3183183
320.3203203,18.28291513,8.292204873,6.097219893,7.137997559,320.3203203
322.3223223,18.42809119,8.300452437,6.104822435,7.194681771,322.3223223
324.3243243,18.57155442,8.308648931,6.112387294,7.251018724,324.3243243
326.3263263,18.71326935,8.316794986,6.119914888,7.306999503,326.3263263
328.3283283,18.85320096,8.324891217,6.127405626,7.36261525,328.3283283
330.3303303,18.99131464,8.33293823,6.134859913,7.417857165,330.3303303
332.3323323,19.12757624,8.340936621,6.142278145,7.472716508,332.3323323
334.3343343,19.26195209,8.348886973,6.149660712,7.527184598,334.3343343
336.3363363,19.39440895,8.35678986,6.157007998,7.581252818,336.3363363
338.3383383,19.52491409,8.364645845,6.164320379,7.634912611,338.3383383
340.3403403,19.65343523,8.372455482,6.171598228,7.688155487,340.3403403
342.3423423,19.77994061,8.380219315,6.178841908,7.740973022,342.3423423
344.3443443,19.90439894,8.387937877,6.186051778,7.793356859,344.3443443
346.3463463,20.02677946,8.395611693,6.193228191,7.845298709,346.3463463
348.3483483,20.14705191,8.40324128,6.200371495,7.896790353,348.3483483
350.3503504,20.26518656,8.410827144,6.207482032,7.947823645,350.3503504
352.3523524,20.38115419,8.418369784,6.214560137,7.998390508,352.3523524
354.3543544,20.49492614,8.425869688,6.221606141,8.048482942,354.3543544
356.3563564,20.60647429,8.43332734,6.228620371,8.098093022,356.3563564
358.3583584,20.71577105,8.440743212,6.235603147,8.147212896,358.3583584
360.3603604,20.8227894,8.448117769,6.242554784,8.195834794,360.3603604
362.3623624,20.92750288,8.45545147,6.249475594,8.243951022,362.3623624
364.3643644,21.02988561,8.462744765,6.256365881,8.291553966,364.3643644
366.3663664,21.12991228,8.469998096,6.263225948,8.338636094,366.3663664
368.3683684,21.22755815,8.477211899,6.270056091,8.385189958,368.3683684
370.3703704,21.32279908,8.484386603,6.276856602,8.431208189,370.3703704
372.3723724,21.41561153,8.491522629,6.283627768,8.476683508,372.3723724
374.3743744,21.50597255,8.498620392,6.290369873,8.521608719,374.3743744
376.3763764,21.5938598,8.505680301,6.297083197,8.565976713,376.3763764
378.3783784,21.67925155,8.512702756,6.303768014,8.60978047,378.3783784
380.3803804,21.76212669,8.519688152,6.310424595,8.653013059,380.3803804
382.3823824,21.84246474,8.52663688,6.317053206,8.695667639,382.3823824
384.3843844,21.92024583,8.533549322,6.323654112,8.737737462,384.3843844
386.3863864,21.99545072,8.540425856,6.330227572,8.779215871,386.3863864
388.3883884,22.06806084,8.547266851,6.33677384,8.820096302,388.3883884
390.3903904,22.13805822,8.554072674,6.343293168,8.860372287,390.3903904
392.3923924,22.20542556,8.560843684,6.349785805,8.900037454,392.3923924
394.3943944,22.27014621,8.567580236,6.356251995,8.939085526,394.3943944
396.3963964,22.33220416,8.574282679,6.36269198,8.977510325,396.3963964
398.3983984,22.39158408,8.580951356,6.369105997,9.015305771,398.3983984
400.4004004,22.44827128,8.587586607,6.375494281,9.052465884,400.4004004
402.4024024,22.50225174,8.594188763,6.381857062,9.088984784,402.4024024
404.4044044,22.55351213,8.600758155,6.38819457,9.124856692,404.4044044
406.4064064,22.60203976,8.607295104,6.394507027,9.160075932,406.4064064
408.4084084,22.64782265,8.613799931,6.400794657,9.194636933,408.4084084
410.4104104,22.69084947,8.62027295,6.407057677,9.228534225,410.4104104
412.4124124,22.73110958,8.626714469,6.413296304,9.261762446,412.4124124
414.4144144,22.76859304,8.633124795,6.41951075,9.294316336,414.4144144
416.4164164,22.80329057,8.639504227,6.425701225,9.326190746,416.4164164
418.4184184,22.83519359,8.645853063,6.431867936,9.357380632,418.4184184
420.4204204,22.86429423,8.652171593,6.438011088,9.387881059,420.4204204
422.4224224,22.89058527,8.658460107,6.444130881,9.4176872,422.4224224
424.4244244,22.91406024,8.664718887,6.450227516,9.446794341,424.4244244
426.4264264,22.93471331,8.670948215,6.456301187,9.475197874,426.4264264
428.4284284,22.95253939,8.677148365,6.462352089,9.502893307,428.4284284
430.4304304,22.96753406,8.68331961,6.468380413,9.529876256,430.4304304
432.4324324,22.97969363,8.689462218,6.474386348,9.556142452,432.4324324
434.4344344,22.98901508,8.695576454,6.480370079,9.581687739,434.4344344
436.4364364,22.9954961,8.701662578,6.486331791,9.606508076,436.4364364
438.4384384,22.99913511,8.707720847,6.492271665,9.630599535,438.4384384
440.4404404,22.99993119,8.713751517,6.498189881,9.653958304,440.4404404
442.4424424,22.99788416,8.719754836,6.504086615,9.676580687,442.4424424
444.4444444,22.99299451,8.725731052,6.509962041,9.698463104,444.4444444
446.4464464,22.98526346,8.731680409,6.515816333,9.719602093,446.4464464
448.4484484,22.97469291,8.737603147,6.521649661,9.73999431,448.4484484
450.4504505,22.96128549,8.743499502,6.527462192,9.759636528,450.4504505
452.4524525,22.9450445,8.74936971,6.533254093,9.778525638,452.4524525
454.4544545,22.92597396,8.755214,6.539025528,9.796658652,454.4544545
456.4564565,22.90407858,8.761032601,6.544776659,9.814032701,456.4564565
458.4584585,22.87936379,8.766825738,6.550507645,9.830645036,458.4584585
460.4604605,22.85183568,8.772593632,6.556218646,9.846493028,460.4604605
462.4624625,22.82150106,8.778336503,6.561909816,9.86157417,462.4624625
464.4644645,22.78836744,8.784054567,6.567581311,9.875886075,464.4644645
466.4664665,22.75244301,8.789748036,6.573233283,9.889426479,466.4664665
